13:31:21.175Result: 2.031125E+000  Deviation:0.0366120930732096 Average:2.02178196907043 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.057312E+000  Deviation:0.631180868461165 Average:2.28343948364258 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.194375E-001  Deviation:0.0021567926196221 Average:0.415712519288063 Min:0.41193750500679 Max:0.419437527656555 Peak:0.00750002264976501Result: 3.038938E+000  Deviation:9.7636845988967E-05 Average:3.03886823892593 Min:3.03862524032593 Max:3.0391252040863 Peak:0.000499963760375977Result: 4.015000E-001  Deviation:0.0021716835781724 Average:0.39788189381361 Min:0.394125014543533 Max:0.401625007390976 Peak:0.00749999284744263Result: 2.029500E+000  Deviation:0.000288627309146908 Average:2.02938320159912 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069563E+000  Deviation:0.00141884779886412 Average:2.06968574285507 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:21.409Result: 2.034250E+000  Deviation:0.036624748647778 Average:2.02182696819305 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.057750E+000  Deviation:0.631188507060608 Average:2.28341823339462 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.195000E-001  Deviation:0.00215679288133053 Average:0.415787519216537 Min:0.41193750500679 Max:0.419500023126602 Peak:0.00756251811981201Result: 3.038938E+000  Deviation:9.71450072712675E-05 Average:3.03887011289597 Min:3.03862524032593 Max:3.0391252040863 Peak:0.000499963760375977Result: 4.015625E-001  Deviation:0.00217126867004463 Average:0.397955018877983 Min:0.394125014543533 Max:0.401625007390976 Peak:0.00749999284744263Result: 2.029500E+000  Deviation:0.000287028538869878 Average:2.02938757658005 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069500E+000  Deviation:0.00141896906382861 Average:2.06968386888504 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:21.644Result: 2.034438E+000  Deviation:0.0366292671662034 Average:2.02184071779251 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.053750E+000  Deviation:0.631206457689633 Average:2.28336885690689 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.194375E-001  Deviation:0.00215195763955809 Average:0.415862519443035 Min:0.412250012159348 Max:0.419500023126602 Peak:0.00725001096725464Result: 3.038813E+000  Deviation:9.73132754389878E-05 Average:3.03886948823929 Min:3.03862524032593 Max:3.0391252040863 Peak:0.000499963760375977Result: 4.016250E-001  Deviation:0.00217364954037361 Average:0.398026268780231 Min:0.394125014543533 Max:0.401625007390976 Peak:0.00749999284744263Result: 2.029500E+000  Deviation:0.000287245385867384 Average:2.0293888258934 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069625E+000  Deviation:0.0014189811516785 Average:2.06968324422836 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:21.894Result: 2.032625E+000  Deviation:0.0366279393831567 Average:2.02183634281158 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.054313E+000  Deviation:0.631226820233338 Average:2.28331260681152 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.196875E-001  Deviation:0.0021543670078234 Average:0.415936894416809 Min:0.412312507629395 Max:0.419687509536743 Peak:0.00737500190734863Result: 3.038875E+000  Deviation:9.71450072712675E-05 Average:3.03887011289597 Min:3.03862524032593 Max:3.0391252040863 Peak:0.000499963760375977Result: 4.017500E-001  Deviation:0.00216914932562945 Average:0.39810251891613 Min:0.394312530755997 Max:0.401750028133392 Peak:0.00743749737739563Result: 2.029500E+000  Deviation:0.000282718339925838 Average:2.02939507484436 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069688E+000  Deviation:0.00141884908614304 Average:2.06968137025833 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:22.144Result: 2.029500E+000  Deviation:0.0366197864737438 Average:2.02180446624756 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.054063E+000  Deviation:0.631245856762086 Average:2.28326010704041 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.196250E-001  Deviation:0.00215420599330332 Average:0.416010019481182 Min:0.412312507629395 Max:0.419687509536743 Peak:0.00737500190734863Result: 3.038875E+000  Deviation:9.63873165447824E-05 Average:3.03887136220932 Min:3.03862524032593 Max:3.0391252040863 Peak:0.000499963760375977Result: 4.018750E-001  Deviation:0.00216972292611488 Average:0.398176893889904 Min:0.394312530755997 Max:0.401875019073486 Peak:0.00756248831748962Result: 2.029500E+000  Deviation:0.000281586725908724 Average:2.02939882278442 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069500E+000  Deviation:0.00141896451745451 Average:2.0696794962883 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:22.378Result: 2.032188E+000  Deviation:0.0366286800062902 Average:2.02184259176254 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.058063E+000  Deviation:0.631240886735685 Average:2.28327385663986 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.197500E-001  Deviation:0.00215582377121516 Average:0.416083144545555 Min:0.412312507629395 Max:0.419750034809113 Peak:0.00743752717971802Result: 3.038938E+000  Deviation:9.66139449876548E-05 Average:3.038871986866 Min:3.03862524032593 Max:3.0391252040863 Peak:0.000499963760375977Result: 4.020000E-001  Deviation:0.00216760818966157 Average:0.39825376868248 Min:0.394437521696091 Max:0.40200001001358 Peak:0.00756248831748962Result: 2.029375E+000  Deviation:0.000278704618381724 Average:2.02940257310867 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069500E+000  Deviation:0.00141896451745451 Average:2.0696794962883 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:22.628Result: 2.033875E+000  Deviation:0.0366403972102098 Average:2.02188571453094 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.059563E+000  Deviation:0.631233694456563 Average:2.28329385757446 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.198125E-001  Deviation:0.0021537802072119 Average:0.416158144772053 Min:0.412625014781952 Max:0.41981253027916 Peak:0.00718751549720764Result: 3.038750E+000  Deviation:9.39269442704373E-05 Average:3.03886823654175 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.020000E-001  Deviation:0.00216942846788363 Average:0.39832689344883 Min:0.394437521696091 Max:0.40200001001358 Peak:0.00756248831748962Result: 2.029500E+000  Deviation:0.000278444181132874 Average:2.02940507173538 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069688E+000  Deviation:0.00141894688476591 Average:2.06967887163162 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:22.878Result: 2.033250E+000  Deviation:0.0366409794177897 Average:2.02188758850098 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.056750E+000  Deviation:0.631230970801546 Average:2.28330135822296 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.198125E-001  Deviation:0.00215565902946218 Average:0.416229394972324 Min:0.412625014781952 Max:0.41981253027916 Peak:0.00718751549720764Result: 3.038813E+000  Deviation:9.40883905997626E-05 Average:3.03886761188507 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.020625E-001  Deviation:0.00216534166645597 Average:0.398403143286705 Min:0.394625008106232 Max:0.402062505483627 Peak:0.00743749737739563Result: 2.029438E+000  Deviation:0.000275436800506212 Average:2.02940944671631 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069688E+000  Deviation:0.0014188830076058 Average:2.06967762231827 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:23.128Result: 2.032438E+000  Deviation:0.0366453377868834 Average:2.02190383911133 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.056125E+000  Deviation:0.631246720264128 Average:2.2832576084137 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.198750E-001  Deviation:0.00215512815689734 Average:0.416301895081997 Min:0.412625014781952 Max:0.419875025749207 Peak:0.00725001096725464Result: 3.038813E+000  Deviation:9.40883905997626E-05 Average:3.03886761188507 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.022500E-001  Deviation:0.00216741823372195 Average:0.398478143215179 Min:0.394625008106232 Max:0.402250021696091 Peak:0.00762501358985901Result: 2.029313E+000  Deviation:0.000273382552383878 Average:2.0294119477272 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069625E+000  Deviation:0.00141884564031207 Average:2.06967824697495 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
13:31:23.362Result: 2.032125E+000  Deviation:0.0366419915976116 Average:2.02189258813858 Min:1.86925005912781 Max:2.0388126373291 Peak:0.169562578201294Result: 2.058313E+000  Deviation:0.631233336653388 Average:2.28329448461533 Min:2.05050015449524 Max:4.09593772888184 Peak:2.0454375743866Result: 4.201250E-001  Deviation:0.00215853842452232 Average:0.41637564510107 Min:0.412625014781952 Max:0.420125007629395 Peak:0.00749999284744263Result: 3.038875E+000  Deviation:9.40883905997626E-05 Average:3.03886761188507 Min:3.03862524032593 Max:3.03906273841858 Peak:0.000437498092651367Result: 4.021250E-001  Deviation:0.00216249741835551 Average:0.398553143441677 Min:0.394812524318695 Max:0.402250021696091 Peak:0.00743749737739563Result: 2.029500E+000  Deviation:0.000269279413191012 Average:2.02941757202148 Min:2.02887511253357 Max:2.03062510490417 Peak:0.00174999237060547Result: 2.069563E+000  Deviation:0.00141884564031207 Average:2.06967824697495 Min:2.06481266021729 Max:2.07462501525879 Peak:0.00981235504150391Result: 0.000000E+000  Deviation:0 Average:0 Min:0 Max:0 Peak:0
